question_id,column_header,shortname,question_title,parent_title,type,page,place
7,is.python.main,is.python.main,Is Python the main language you use for your current projects?,,RADIO,2,2
103,other.lang.None,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Java,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.JavaScript,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.C/C++,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.PHP,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.C#,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Ruby,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Bash / Shell,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Objective-C,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Go,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Visual Basic,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Scala,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.SQL,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Kotlin,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.R,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Swift,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Clojure,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Perl,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Rust,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Groovy,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.TypeScript,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.CoffeeScript,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.HTML/CSS,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
103,other.lang.Other,other.lang,What other language(s) do you use?,,CHECKBOX,2,3
306,python.years,python.years,How long have you been programming in Python?,,RADIO,3,1
193,years.of.coding,years.of.coding,How many years of professional coding experience do you have?,,RADIO,3,2
270,main.purposes,main.purposes,For what purposes do you mainly use Python?,,RADIO,3,3
219,other.purposes.Educational purposes,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Data analysis,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.DevOps / System administration / Writing automation scripts,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Software testing / Writing automated tests,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Software prototyping,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Web development,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Machine learning,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Mobile development,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Desktop development,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Computer graphics,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Network programming,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Game development,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Multimedia applications development,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Embedded development,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Programming of web parsers / scrapers / crawlers,other.purposes, What do you use Python for?,,CHECKBOX,3,4
219,other.purposes.Other,other.purposes, What do you use Python for?,,CHECKBOX,3,4
288,use.python.most,use.python.most,What do you use Python for the most?,,RADIO,5,1
27311319,how.involved.Educational purposes,how.involved,Educational purposes,To what extent are you involved in the following activities?,RADIO,5,2
27311320,how.involved.Data analysis,how.involved,Data analysis,To what extent are you involved in the following activities?,RADIO,5,2
27311321,how.involved.DevOps / System administration / Writing automation scripts,how.involved,DevOps / System administration / Writing automation scripts,To what extent are you involved in the following activities?,RADIO,5,2
27311322,how.involved.Software testing / Writing automated tests,how.involved,Software testing / Writing automated tests,To what extent are you involved in the following activities?,RADIO,5,2
27311323,how.involved.Software prototyping,how.involved,Software prototyping,To what extent are you involved in the following activities?,RADIO,5,2
27311324,how.involved.Web development,how.involved,Web development,To what extent are you involved in the following activities?,RADIO,5,2
27311325,how.involved.Machine learning,how.involved,Machine learning,To what extent are you involved in the following activities?,RADIO,5,2
27311326,how.involved.Mobile development,how.involved,Mobile development,To what extent are you involved in the following activities?,RADIO,5,2
27311327,how.involved.Desktop development,how.involved,Desktop development,To what extent are you involved in the following activities?,RADIO,5,2
27311328,how.involved.Computer graphics,how.involved,Computer graphics,To what extent are you involved in the following activities?,RADIO,5,2
27311329,how.involved.Network programming,how.involved,Network programming,To what extent are you involved in the following activities?,RADIO,5,2
27311330,how.involved.Game development,how.involved,Game development,To what extent are you involved in the following activities?,RADIO,5,2
27311331,how.involved.Multimedia applications development,how.involved,Multimedia applications development,To what extent are you involved in the following activities?,RADIO,5,2
27311332,how.involved.Embedded development,how.involved,Embedded development,To what extent are you involved in the following activities?,RADIO,5,2
27311333,how.involved.Programming of web parsers / scrapers / crawlers,how.involved,Programming of web parsers / scrapers / crawlers,To what extent are you involved in the following activities?,RADIO,5,2
27311334,how.involved.Other - Write In:,how.involved,Other - Write In:,To what extent are you involved in the following activities?,RADIO,5,2
257,are.you.datascientist,are.you.datascientist,Do you consider yourself as a Data-Scientist?,,RADIO,5,3
